"DISTRICT","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANNUAL","JAN.FEB","MAM","JJAS","OND","Apple_Whole year","Arcanut (Processed)_Whole year","Arecanut_Kharif","Arecanut_Rabi","Arecanut_Whole year","Arhar_Kharif","Arhar_Rabi","Arhar_Whole year","Ash Gourd_Whole year","Atcanut (Raw)_Whole year","Bajra_Kharif","Bajra_Rabi","Bajra_Summer","Bajra_Whole year","Banana_Autumn","Banana_Kharif","Banana_Rabi","Banana_Summer","Banana_Whole year","Banana_Winter","Barley_Kharif","Barley_Rabi","Beans & Mutter(Vegetable)_Whole year","Beet Root_Whole year","Ber_Whole year","Bhindi_Whole year","Bitter Gourd_Whole year","Black pepper_Kharif","Black pepper_Rabi","Black pepper_Whole year","Bottle Gourd_Whole year","Brinjal_Whole year","Cabbage_Whole year","Cardamom_Kharif","Cardamom_Whole year","Carrot_Whole year","Cashewnut_Kharif","Cashewnut_Whole year","Cashewnut Processed_Whole year","Cashewnut Raw_Whole year","Castor seed_Kharif","Castor seed_Rabi","Castor seed_Whole year","Cauliflower_Whole year","Citrus Fruit_Whole year","Coconut ('000 Nuts)_Kharif","Coconut ('000 Nuts)_Rabi","Coconut ('000 Nuts)_Whole year","Coffee_Whole year","Cond-spcs other_Kharif","Cond-spcs other_Rabi","Coriander_Kharif","Coriander_Rabi","Coriander_Whole year","Cotton(lint)_Autumn","Cotton(lint)_Kharif","Cotton(lint)_Rabi","Cotton(lint)_Whole year","Cotton(lint)_Winter","Cucumber_Whole year","Drum Stick_Whole year","Dry chillies_Autumn","Dry chillies_Kharif","Dry chillies_Rabi","Dry chillies_Summer","Dry chillies_Whole year","Dry chillies_Winter","Dry ginger_Autumn","Dry ginger_Kharif","Dry ginger_Rabi","Dry ginger_Summer","Dry ginger_Whole year","Dry ginger_Winter","Garlic_Kharif","Garlic_Rabi","Garlic_Whole year","Gram_Kharif","Gram_Rabi","Gram_Whole year","Grapes_Whole year","Groundnut_Autumn","Groundnut_Kharif","Groundnut_Rabi","Groundnut_Summer","Groundnut_Whole year","Groundnut_Winter","Guar seed_Kharif","Guar seed_Whole year","Horse-gram_Kharif","Horse-gram_Rabi","Horse-gram_Summer","Horse-gram_Whole year","Horse-gram_Winter","Jack Fruit_Whole year","Jowar_Kharif","Jowar_Rabi","Jowar_Summer","Jowar_Whole year","Jute_Autumn","Jute_Kharif","Jute_Rabi","Jute_Summer","Jute & mesta_Kharif","Jute & mesta_Whole year","Kapas_Kharif","Khesari_Kharif","Khesari_Rabi","Korra_Kharif","Korra_Rabi","Lab-Lab_Whole year","Linseed_Kharif","Linseed_Rabi","Litchi_Whole year","Maize_Autumn","Maize_Kharif","Maize_Rabi","Maize_Summer","Maize_Whole year","Maize_Winter","Mango_Whole year","Masoor_Kharif","Masoor_Rabi","Mesta_Kharif","Mesta_Whole year","Moong_Autumn","Moong_Kharif","Moong_Rabi","Moong_Summer","Moong_Whole year","Moong_Winter","Moth_Kharif","Moth_Whole year","Niger seed_Kharif","Niger seed_Rabi","Niger seed_Whole year","Niger seed_Winter","Oilseeds total_Kharif","Oilseeds total_Whole year","Onion_Autumn","Onion_Kharif","Onion_Rabi","Onion_Summer","Onion_Whole year","Onion_Winter","Orange_Whole year","Other  Rabi pulses_Rabi","Other  Rabi pulses_Whole year","Other Cereals & Millets_Kharif","Other Cereals & Millets_Rabi","Other Cereals & Millets_Whole year","Other Citrus Fruit_Whole year","Other Dry Fruit_Whole year","other fibres_Whole year","Other Fresh Fruits_Whole year","Other Kharif pulses_Kharif","Other Kharif pulses_Rabi","other misc. pulses_Kharif","other misc. pulses_Rabi","other oilseeds_Kharif","other oilseeds_Rabi","other oilseeds_Whole year","Other Vegetables_Whole year","Papaya_Whole year","Peach_Whole year","Pear_Whole year","Peas  (vegetable)_Whole year","Peas & beans (Pulses)_Autumn","Peas & beans (Pulses)_Kharif","Peas & beans (Pulses)_Rabi","Peas & beans (Pulses)_Summer","Peas & beans (Pulses)_Whole year","Peas & beans (Pulses)_Winter","Pineapple_Whole year","Plums_Whole year","Pome Fruit_Whole year","Pome Granet_Whole year","Potato_Autumn","Potato_Kharif","Potato_Rabi","Potato_Summer","Potato_Whole year","Potato_Winter","Pulses total_Kharif","Pulses total_Rabi","Pulses total_Whole year","Pump Kin_Whole year","Ragi_Autumn","Ragi_Kharif","Ragi_Rabi","Ragi_Summer","Ragi_Whole year","Ragi_Winter","Rapeseed &Mustard_Kharif","Rapeseed &Mustard_Rabi","Rapeseed &Mustard_Whole year","Rapeseed &Mustard_Winter","Redish_Whole year","Ribed Guard_Whole year","Rice_Autumn","Rice_Kharif","Rice_Rabi","Rice_Summer","Rice_Whole year","Rice_Winter","Rubber_Whole year","Safflower_Kharif","Safflower_Rabi","Samai_Kharif","Samai_Rabi","Sannhamp_Kharif","Sannhamp_Whole year","Sesamum_Autumn","Sesamum_Kharif","Sesamum_Rabi","Sesamum_Summer","Sesamum_Whole year","Sesamum_Winter","Small millets_Kharif","Small millets_Rabi","Small millets_Whole year","Snak Guard_Whole year","Soyabean_Autumn","Soyabean_Kharif","Soyabean_Rabi","Soyabean_Winter","Sugarcane_Autumn","Sugarcane_Kharif","Sugarcane_Rabi","Sugarcane_Summer","Sugarcane_Whole year","Sugarcane_Winter","Sunflower_Kharif","Sunflower_Rabi","Sunflower_Summer","Sunflower_Whole year","Sweet potato_Autumn","Sweet potato_Kharif","Sweet potato_Rabi","Sweet potato_Whole year","Sweet potato_Winter","Tapioca_Autumn","Tapioca_Kharif","Tapioca_Rabi","Tapioca_Whole year","Tea_Kharif","Tea_Whole year","Tobacco_Kharif","Tobacco_Rabi","Tobacco_Summer","Tobacco_Whole year","Tomato_Whole year","Total foodgrain_Kharif","Turmeric_Autumn","Turmeric_Kharif","Turmeric_Rabi","Turmeric_Summer","Turmeric_Whole year","Turmeric_Winter","Turnip_Whole year","Urad_Autumn","Urad_Kharif","Urad_Rabi","Urad_Summer","Urad_Whole year","Urad_Winter","Varagu_Kharif","Varagu_Rabi","Water Melon_Whole year","Wheat_Rabi","Wheat_Summer","Wheat_Winter","Yam_Whole year"
"CHANDEL",8.5,27.9,36.3,77.9,179,609.9,540.3,490.9,366,254.9,48.3,7.6,2647.5,36.4,293.2,2007.1,310.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,250,390,630.222222222222,300,NA,NA,91.5,NA,NA,42.5,2,NA,NA,NA,5,29.5,20,NA,NA,20,NA,115,NA,NA,NA,NA,NA,16,122.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.3333333333333,NA,30,182.222222222222,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,321.111111111111,NA,NA,NA,NA,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,10,87,NA,NA,NA,NA,NA,NA,NA,NA,1065,35,NA,NA,NA,NA,NA,NA,23,315.5,NA,NA,NA,160,545.555555555556,200,NA,NA,70,657.5,NA,160,NA,20,NA,270,NA,58.5714285714286,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.3333333333333,NA,NA,18,NA,2700,7714.44444444444,NA,NA,NA,3540,NA,NA,NA,NA,NA,NA,NA,260,123.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,30,140,NA,NA,NA,NA,NA,NA,161.666666666667,NA,NA,NA,NA,NA,NA,NA,NA,57.5,NA,NA,NA,NA,53.3333333333333,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHANDIGARH",44.3,38.9,33.2,14.8,30.1,120,282.4,287.5,154.3,31.8,9.9,23.4,1070.6,83.2,78.1,844.2,65.1,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.153846153846,NA,NA,NA,NA,NA,NA,6.25,NA,NA,NA,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.07692307692308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8461538461538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,65.3846153846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA,NA,NA,671.538461538462,NA,NA,NA
"CHANDRAPUR",11.4,8.9,14.6,10.8,11.6,180.6,374,374.1,203.1,65.1,9.9,7.9,1272,20.3,37,1131.8,82.9,NA,NA,NA,NA,NA,25527.1666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52018.1818181818,NA,49900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20052.75,NA,NA,NA,100,NA,100.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9679.09090909091,22612.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17515.6666666667,NA,NA,100,100,NA,NA,NA,4069,NA,NA,NA,NA,NA,933.916666666667,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,25666.6666666667,NA,100,NA,NA,NA,NA,NA,NA,2100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875.583333333333,NA,NA,NA,NA,NA,126534.416666667,NA,1600,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,783.75,310.1,NA,NA,NA,1200,300,NA,NA,NA,132847.363636364,164600,NA,NA,NA,NA,NA,NA,NA,NA,952,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,600.333333333333,NA,NA,NA,NA,NA,NA,NA,28036.3636363636,NA,NA,NA
"CHANGLANG",70.3,170.9,367.9,554.4,334.2,526.2,460.8,291.5,353.6,275,64.9,74.2,3543.9,241.2,1256.5,1632.1,414.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504.153846153846,NA,NA,367.9,NA,NA,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070.92307692308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652,NA,NA,NA,NA,NA,3936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.769230769231,NA,NA,NA,478,NA,NA,NA,NA,NA,NA,NA,NA,4215,NA,NA,NA,NA,NA,11625.3076923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,NA,NA,NA,NA,1903.53846153846,NA,NA,NA,NA,520,NA,NA,NA,NA,NA,NA,307.461538461538,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.153846153846,NA,NA,NA
"CHATRA",19.4,18.5,11.2,5.8,17.8,157.7,336.5,303,234.1,55.7,5.2,7,1171.9,37.9,34.8,1031.3,67.9,NA,NA,NA,NA,NA,1613.85,1335.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1153.68833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4606.47166666667,NA,NA,NA,NA,NA,NA,NA,304.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489.293333333333,NA,NA,1101.7525,NA,NA,NA,NA,275.3,NA,NA,NA,NA,NA,NA,367.91,NA,NA,NA,NA,2474.355,NA,NA,NA,NA,21348.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5686.21833333333,NA,NA,NA
"CHHATARPUR",17.6,12.6,6,3.1,5.3,95,317.3,369.6,203.1,34.2,9.2,8.4,1081.4,30.2,14.4,985,51.8,NA,NA,NA,NA,NA,9187.33333333333,NA,NA,NA,NA,71.3333333333333,NA,NA,NA,NA,NA,NA,NA,5.33333333333333,NA,NA,9979.22222222222,NA,NA,NA,125.5,NA,NA,NA,NA,NA,1177,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,105,9.5,NA,NA,NA,NA,NA,NA,NA,NA,483.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742.6,NA,NA,384.5,NA,NA,NA,NA,NA,NA,144.25,NA,85810.4444444444,NA,NA,NA,7231,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,17645,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,11066.5555555556,NA,NA,680.444444444444,NA,NA,NA,NA,29.5,NA,9840.66666666667,NA,NA,NA,5795,NA,NA,NA,NA,NA,NA,46.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,700.666666666667,NA,3,32384,NA,NA,NA,NA,NA,NA,NA,NA,38350.4,NA,NA,NA,NA,NA,NA,1295,67,NA,NA,NA,NA,NA,18886,NA,NA,NA,NA,NA,54.5,NA,NA,NA,NA,NA,1106.25,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,12032.2222222222,NA,NA,NA,NA,NA,15513.3333333333,NA,NA,NA,NA,NA,NA,1.5,NA,NA,904.5,676.8,NA,33191.2857142857,NA,NA,59105.5,NA,3696.66666666667,NA,1698,NA,NA,25797.6666666667,NA,NA,NA,NA,NA,NA,166.555555555556,NA,NA,NA,NA,NA,NA,NA,NA,404.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.25,1152,NA,NA,NA,NA,NA,66.2857142857143,NA,NA,NA,45845.4,37.25,NA,NA,NA,NA,NA,NA,129014.444444444,NA,NA,NA
"CHHIMTUIPUI",13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,2814.4,45,645.1,1788,336.3,NA,NA,NA,NA,NA,14.3333333333333,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682.36363636364,311,NA,NA,NA,NA,26,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342.25,NA,NA,NA,NA,NA,NA,NA,NA,349.444444444444,NA,NA,NA,274.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.5,NA,NA,NA,NA,NA,NA,NA,NA,93.4,NA,NA,125.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.5,NA,NA,NA,NA,NA,9110.72727272727,11.5,NA,10419,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.142857142857,NA,NA,NA,NA,NA,NA,93.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,93.5,NA,NA,NA,NA,NA,123.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIKMAGALUR",1.6,2,12,60.2,105.9,395,662.1,425,175.2,167.4,58.8,12.3,2077.5,3.6,178.1,1657.3,238.5,NA,15910,NA,NA,16889.8888888889,735.5,NA,NA,NA,15910,NA,NA,NA,NA,NA,NA,NA,NA,1604.33333333333,NA,NA,NA,1234.5,NA,NA,NA,NA,NA,NA,1663.27272727273,NA,136.5,NA,NA,2606.4,NA,NA,477,299,299,792.666666666667,NA,NA,NA,42.5,NA,NA,33317.4545454545,NA,NA,NA,NA,NA,1162.63636363636,NA,1860.57142857143,NA,1655.6,NA,NA,NA,NA,3743.66666666667,8.66666666666667,33,3272.25,NA,NA,312.714285714286,NA,NA,759,NA,NA,NA,8.66666666666667,1307,4089.58333333333,NA,19,NA,4242.66666666667,698.363636363636,NA,NA,NA,NA,NA,3074.45454545455,8171.09090909091,NA,NA,NA,NA,4156.33333333333,6520.08333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2413.16666666667,NA,NA,NA,NA,1746.5,NA,NA,NA,NA,NA,2170.33333333333,41.9166666666667,NA,NA,NA,NA,NA,1022.58333333333,NA,NA,NA,NA,NA,NA,3854.2,13.75,2,3565.42857142857,NA,NA,167.454545454545,NA,NA,NA,NA,NA,NA,NA,94,5161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301.5,5.5,20.5,140,NA,NA,NA,15.5,NA,NA,3707,25,30,2526.14285714286,NA,NA,NA,NA,NA,NA,57927.6666666667,157.75,NA,NA,NA,252,236.222222222222,NA,NA,NA,NA,NA,42759.1666666667,NA,3150.41666666667,NA,NA,NA,NA,96.0833333333333,NA,NA,NA,NA,NA,5010,NA,NA,NA,NA,1337.6,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,NA,1539.33333333333,NA,11300.6666666667,202.333333333333,11.75,NA,NA,NA,NA,76.3333333333333,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,90.1,778.5,NA,NA,NA,NA,NA,34,NA,NA,NA,792.272727272727,35.7272727272727,NA,NA,NA,NA,NA,NA,17.6666666666667,NA,NA,NA
"CHITRADURGA",1.4,1.2,4.4,25.8,64.9,50.5,56.1,58.9,105.5,116.4,33.8,8.8,527.7,2.6,95.1,271,159,NA,13452,NA,NA,12805.3333333333,7759.75,NA,NA,NA,13452,3909.5,15,6.66666666666667,NA,NA,NA,NA,NA,1352.11111111111,NA,NA,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,14,7,7,1884.33333333333,NA,NA,NA,34.5,NA,NA,40462.1818181818,NA,NA,NA,NA,NA,298.363636363636,NA,14546.2857142857,NA,9890.2,NA,NA,NA,NA,1879,80,55.3333333333333,2819.25,NA,NA,8,NA,NA,NA,NA,NA,NA,4.28571428571429,2002,7202.41666666667,NA,12.5,NA,145263,3464.09090909091,NA,NA,NA,NA,NA,8090,5717.18181818182,NA,NA,NA,NA,14683.8333333333,18013.25,748.583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50420.25,2567.66666666667,276.75,NA,NA,1065.5,NA,NA,NA,NA,NA,4144,NA,NA,NA,NA,NA,NA,459.583333333333,NA,NA,NA,NA,NA,NA,14877,573.4,311.5,13781.5714285714,NA,NA,76.2727272727273,NA,NA,NA,NA,NA,NA,NA,367,5644.72727272727,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,NA,NA,19,3,3,36,NA,NA,NA,28.5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,57771.25,698.666666666667,1264.58333333333,NA,NA,234.666666666667,247.888888888889,NA,NA,NA,NA,NA,4749,985.166666666667,3684.91666666667,NA,NA,NA,NA,2854.91666666667,NA,NA,NA,NA,NA,4266.83333333333,NA,NA,NA,NA,9782.9,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,1068.57142857143,NA,23594.5,16955.9166666667,1468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442.1,760,NA,NA,NA,NA,NA,14.3333333333333,NA,NA,NA,73.9090909090909,NA,NA,NA,NA,NA,NA,NA,915.583333333333,NA,NA,NA
"CHITTOOR",7.7,7.6,10.1,25.6,67.2,66.8,100.1,110.2,140,167.2,137.3,58.4,898.2,15.3,102.9,417.1,362.9,NA,NA,NA,NA,NA,6507.90909090909,132,NA,NA,NA,2313.91666666667,90.2857142857143,NA,NA,NA,825,NA,NA,753.8,NA,NA,NA,1436.5,NA,NA,361,NA,NA,NA,NA,NA,1724,38.5,NA,NA,NA,98,111.666666666667,NA,NA,337.444444444444,NA,NA,NA,226.5,4125.5,NA,4155.66666666667,NA,NA,NA,102,125,91.8333333333333,NA,19.5,NA,NA,NA,4.5,NA,NA,585.666666666667,2274.33333333333,NA,3294.83333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.33333333333333,NA,34,NA,160600.5,21367.75,NA,NA,NA,NA,NA,4682,2002.41666666667,NA,NA,NA,NA,1897.75,37.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,NA,NA,NA,15.7777777777778,NA,NA,583,530.833333333333,NA,NA,NA,48203,5096,NA,3.5,NA,NA,403.5,138.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.2,225.4,NA,521,NA,5,21.1666666666667,NA,NA,NA,NA,NA,NA,NA,286.5,2462.90909090909,NA,1653,13,NA,22,NA,802,28,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,67.5,NA,NA,527,1243.5,NA,1230,NA,NA,NA,NA,NA,NA,9315.5,1178.54545454545,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,23449.4166666667,40983.25,NA,NA,NA,NA,NA,10,1970.5,NA,NA,NA,NA,417.1,786.363636363636,NA,NA,NA,1283.5,NA,NA,NA,NA,NA,NA,NA,NA,27742.5,NA,NA,37506.3333333333,NA,1836.90909090909,2407.25,NA,3280,NA,160.333333333333,226,199.25,NA,NA,18,NA,2,NA,NA,225,106.5,NA,32.3333333333333,18237,NA,NA,69.5,NA,NA,73.5,NA,NA,NA,201.222222222222,277.6,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA
"CHURACHANDPUR",13,31.1,72.7,187.3,238,422.1,407.6,382.6,348.3,173.2,50.1,11.4,2337.4,44.1,498,1560.6,234.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,80,20,1032.22222222222,140,NA,NA,97,NA,NA,43.5,1,NA,NA,NA,5,36,37.5,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,11,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,124,NA,NA,30,NA,NA,1070,NA,NA,NA,3488.88888888889,1040,50,1167.77777777778,NA,510,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,630,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,10,NA,386,NA,NA,NA,NA,NA,NA,NA,NA,1383.5,60,NA,NA,NA,NA,NA,NA,29.5,250.5,NA,NA,NA,NA,712.222222222222,10,NA,NA,NA,1830,NA,70,NA,NA,NA,NA,NA,63.3333333333333,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640,NA,NA,17.5,NA,3790,18598.8888888889,NA,NA,NA,9890,NA,NA,NA,NA,NA,NA,NA,NA,1112.85714285714,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,30,110,NA,NA,NA,185.714285714286,10,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,49,NA,10,NA,NA,NA,40,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
